GitHub Repo,Label1 (Y/N),Label2 (Y/N),Final Label
lukemelas/EfficientNet-PyTorch,Y,Y,Y
lululxvi/deepxde,Y,Y,Y
machine-learning-apps/Issue-Label-Bot,Y,Y,Y
maelfabien/Multimodal-Emotion-Recognition,N,Y,
magenta/ddsp,Y,Y,Y
magenta/magenta,Y,Y,Y
malllabiisc/RESIDE,N,N,N
mangaki/mangaki,Y,Y,Y
mapbox/robosat,Y,Y,Y
masa-su/pixyz,Y,Y,Y
materialsvirtuallab/megnet,Y,Y,Y
mdeff/fma,N,N,N
medipixel/rl_algorithms,Y,Y,Y
mesutpiskin/computer-vision-guide,N,N,N
michaelhush/M-LOOP,Y,Y,Y
microsoft/AdaptiveCards,Y,Y,Y
microsoft/DeepSpeed,Y,Y,Y
microsoft/EdgeML,Y,Y,Y
microsoft/MMdnn,Y,Y,Y
microsoft/Windows-Machine-Learning,Y,Y,Y
microsoft/ai-edu,N,Y,
microsoft/botbuilder-python,Y,Y,Y
microsoft/forecasting,Y,Y,Y
microsoft/hummingbird,Y,Y,Y
microsoft/nni,Y,Y,Y
microsoft/tf2-gnn,N,Y,
microsoft/vscode-python,N,Y,
milvus-io/bootcamp,Y,Y,Y
mindsdb/mindsdb,Y,Y,Y
mittagessen/kraken,Y,Y,Y
mlflow/mlflow,Y,Y,Y
mljar/mljar-supervised,Y,Y,Y
mlmed/torchxrayvision,N,Y,
mlperf/inference,N,N,N
mlperf/training,N,N,N
mnicnc404/CartoonGan-tensorflow,N,N,N
modernmt/modernmt,Y,Y,Y
molecularsets/moses,Y,N,
mozilla/DeepSpeech,Y,Y,Y
mozilla/TTS,Y,N,
mozilla/bugbug,Y,Y,Y
mozilla/fathom,Y,N,
mpariente/asteroid,Y,Y,Y
mravanelli/pytorch-kaldi,N,N,N
namisan/mt-dnn,Y,Y,Y
nanoporetech/medaka,Y,Y,Y
natethegreate/hent-AI,N,N,N
nerox8664/pytorch2keras,Y,N,
nicolas-chaulet/torch-points3d,Y,Y,Y
norse/norse,Y,N,
numenta/nupic.torch,Y,Y,Y
nussl/nussl,Y,Y,Y
nutonomy/nuscenes-devkit,Y,N,
nyanp/nyaggle,Y,N,
nyu-mll/jiant,Y,Y,Y
onnx/keras-onnx,Y,Y,Y
onnx/onnx-tensorflow,Y,Y,Y
onnx/onnxmltools,Y,Y,Y
onnx/tensorflow-onnx,Y,Y,Y
open-mmlab/mmcv,Y,Y,Y
open-mmlab/mmdetection,Y,Y,Y
open-mmlab/mmfashion,Y,Y,Y
open-mmlab/mmskeleton,Y,N,
opencv/cvat,Y,Y,Y
opencv/open_model_zoo,N,N,N
opencv/openvino_training_extensions,N,Y,
openseg-group/openseg.pytorch,Y,N,
openvinotoolkit/model_server,Y,Y,Y
openvinotoolkit/openvino,Y,Y,Y
osmr/imgclsmob,N,Y,
ottogroup/palladium,Y,Y,Y
ownthink/Jiagu,Y,Y,Y
parlance/ctcdecode,N,N,N
persephone-tools/persephone,Y,Y,Y
pgmpy/pgmpy,Y,Y,Y
philipperemy/deep-speaker,N,N,N
philipperemy/keract,N,Y,
philipperemy/keras-tcn,N,N,N
piEsposito/blitz-bayesian-deep-learning,Y,Y,Y
plasticityai/magnitude,Y,N,
podgorskiy/ALAE,N,N,N
priya-dwivedi/Deep-Learning,N,N,N
ptillet/triton,Y,N,
pyannote/pyannote-audio,Y,Y,Y
pymc-devs/pymc3,Y,Y,Y
pymc-devs/pymc4,Y,Y,Y
pyprob/pyprob,Y,N,
pyro-ppl/funsor,Y,Y,Y
pyro-ppl/pyro,Y,Y,Y
pytorch/audio,Y,Y,Y
pytorch/botorch,Y,Y,Y
pytorch/builder,Y,Y,Y
pytorch/captum,Y,Y,Y
pytorch/elastic,Y,Y,Y
pytorch/examples,N,Y,
pytorch/fairseq,Y,Y,Y
pytorch/ignite,Y,Y,Y
pytorch/serve,Y,Y,Y
pytorch/text,Y,Y,Y
pytorch/tutorials,N,N,N
pytorch/vision,Y,Y,Y
qiskit-community/qiskit-textbook,N,Y,
quantumblacklabs/kedro,Y,Y,Y
quantumiracle/SOTA-RL-Algorithms,N,N,N
quantumlib/Cirq,Y,Y,Y
r9y9/nnsvs,N,N,N
rail-berkeley/softlearning,N,N,N
ray-project/ray,Y,Y,Y
regel/loudml,Y,Y,Y
ria-com/nomeroff-net,Y,Y,Y
richzhang/colorization-pytorch,N,Y,
rlworkgroup/garage,Y,Y,Y
robertness/causalML,N,N,N
robotlearn/pyrobolearn,Y,Y,Y
rusty1s/pytorch_geometric,Y,Y,Y
rusty1s/pytorch_scatter,Y,Y,Y
rwightman/pytorch-image-models,Y,Y,Y
rwth-i6/returnn,Y,Y,Y
santi-pdp/pase,N,N,N
scalabel/scalabel,N,Y,
scikit-learn-contrib/imbalanced-learn,Y,Y,Y
serengil/deepface,Y,Y,Y
sergionr2/RacingRobot,Y,Y,Y
shibing624/pycorrector,Y,Y,Y
shibing624/python-tutorial,N,N,N
sigopt/sigopt-examples,Y,Y,Y
silvandeleemput/memcnn,N,Y,
sisl/NeuralVerification.jl,Y,Y,Y
skorch-dev/skorch,Y,Y,Y
slundberg/shap,Y,Y,Y
snap-stanford/ogb,Y,N,
snipsco/tract,Y,Y,Y
snorkel-team/snorkel,Y,Y,Y
songlab-cal/tape,N,Y,
spmallick/learnopencv,N,N,N
spotify/zoltar,Y,Y,Y
sql-machine-learning/elasticdl,Y,Y,Y
sshuair/torchsat,N,Y,
stanfordnlp/stanza,Y,Y,Y
stellargraph/stellargraph,Y,N,
stephenhky/PyShortTextCategorization,Y,Y,Y
streamlit/streamlit,Y,Y,Y
studioml/studio,Y,N,
swechhachoudhary/Handwriting-synthesis,N,N,N
taehoonlee/tensornets,N,Y,
tech-srl/code2vec,N,Y,
tensorflow/addons,Y,Y,Y
tensorflow/cleverhans,Y,Y,Y
tensorflow/compression,N,Y,
tensorflow/data-validation,N,Y,
